上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/06/17
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"1258","F-其祥","9.59","1.52","4.02","1.60"
"1259","安心","17.17","2.80","3.81","1.45"
"1264","德麥","14.56","11.00","5.73","2.82"
"1333","恩得利","N/A","0.00","0.00","0.65"
"1336","台翰","N/A","0.00","0.00","0.49"
"1565","精華","22.15","23.50","3.39","6.99"
"1566","捷邦","10.15","1.50","7.28","1.07"
"1569","濱川","N/A","0.00","0.00","0.45"
"1570","力肯","8.73","0.50","3.62","1.14"
"1580","新麥","11.15","7.00","6.80","2.71"
"1584","精剛","N/A","0.00","0.00","1.12"
"1586","和勤","N/A","0.00","0.00","1.42"
"1591","F-駿吉","21.44","0.00","0.00","1.61"
"1593","祺驊","12.38","3.00","7.59","1.49"
"1595","川寶","11.65","3.20","6.77","0.96"
"1597","直得","14.38","1.00","3.76","1.12"
"1599","宏佳騰","6.79","4.50","8.18","1.76"
"1742","台蠟","N/A","0.00","0.00","0.94"
"1752","南光","20.99","1.20","2.52","2.32"
"1777","生泰","18.21","3.50","3.48","2.96"
"1781","合世","N/A","0.00","0.00","1.83"
"1784","訊聯","88.13","0.41","1.47","1.21"
"1787","福盈科","12.39","1.55","6.66","1.41"
"1788","杏昌","16.86","5.00","5.06","2.20"
"1795","美時","77.23","0.00","0.00","1.94"
"1799","易威","N/A","0.00","0.00","2.35"
"1813","寶利徠","13.33","2.00","7.18","1.25"
"1815","富喬","9.54","0.35","3.37","0.61"
"2035","唐榮","N/A","0.00","0.00","2.88"
"2061","風青","N/A","0.00","0.00","0.92"
"2063","世鎧","16.21","1.40","4.75","2.03"
"2064","晉椿","20.12","1.20","7.19","0.82"
"2066","世德","16.44","6.00","5.02","3.89"
"2067","嘉鋼","N/A","0.00","0.00","1.10"
"2221","大甲","9.16","1.00","6.13","1.09"
"2230","泰茂","47.50","0.60","3.95","1.13"
"2233","宇隆","15.28","3.00","3.88","1.71"
"2235","謚源","21.28","5.00","3.85","4.06"
"2596","綠意","N/A","1.00","7.25","0.83"
"2636","台驊","10.40","2.00","8.51","1.10"
"2640","大車隊","13.73","3.78","6.75","1.98"
"2641","正德","20.82","0.10","1.41","0.56"
"2643","捷迅","9.32","2.00","5.04","1.73"
"2718","晶悅","21.24","0.70","2.27","1.15"
"2719","燦星旅","N/A","0.00","0.00","1.20"
"2724","F-富驛","N/A","0.00","0.00","0.80"
"2726","F-雅茗","23.93","2.50","3.73","3.50"
"2729","瓦城","17.92","10.60","4.79","2.69"
"2732","六角","18.20","5.50","6.63","2.68"
"2734","易飛網","N/A","0.50","2.79","0.97"
"2736","高野","6.47","2.50","6.94","1.20"
"2740","天蔥","99.78","1.47","3.21","2.61"
"2916","滿心","12.59","1.30","7.22","1.07"
"2924","F-東凌","82.58","0.50","0.98","2.12"
"2926","誠品生","19.45","8.08","4.31","4.97"
"2928","F-紅馬","39.13","0.95","1.62","2.29"
"3064","泰偉","N/A","0.00","0.00","4.11"
"3066","李洲","N/A","0.00","0.00","1.23"
"3067","全域","N/A","0.00","0.00","1.50"
"3068","美磊","19.46","0.60","1.40","2.30"
"3071","協禧","40.31","0.00","0.00","0.64"
"3073","普格","N/A","0.00","0.00","1.42"
"3078","僑威","10.29","1.90","6.64","1.58"
"3081","聯亞","30.76","12.00","2.44","8.81"
"3083","網龍","N/A","0.00","0.00","2.79"
"3085","久大","96.22","0.00","0.00","1.95"
"3086","華義","N/A","0.00","0.00","2.67"
"3088","艾訊","11.47","4.30","6.71","2.82"
"3089","遠昇","N/A","0.00","0.00","0.66"
"3092","鴻碩","17.68","0.60","2.02","1.51"
"3093","港建","11.22","2.40","7.35","1.36"
"3095","及成","N/A","0.00","0.00","0.64"
"3105","穩懋","13.92","0.50","0.74","2.21"
"3114","好德","15.43","0.80","7.51","0.65"
"3115","寶島極","N/A","0.00","0.00","1.19"
"3118","進階","14.65","2.20","6.23","2.12"
"3122","笙泉","14.51","0.80","4.88","1.17"
"3128","昇銳","43.83","0.00","0.00","0.97"
"3131","弘塑","12.73","12.00","5.47","3.05"
"3141","晶宏","31.39","0.31","0.60","3.76"
"3144","新揚科","15.26","0.80","5.52","1.09"
"3152","璟德","14.40","9.95","5.99","3.51"
"3162","精確","N/A","0.00","0.00","0.59"
"3163","波若威","N/A","0.00","0.00","2.42"
"3169","亞信","20.25","1.50","6.28","1.60"
"3171","新洲","14.44","0.00","0.00","1.82"
"3176","基亞","N/A","0.00","0.00","4.48"
"3188","安茂","N/A","0.00","0.00","1.67"
"3191","和進","N/A","0.00","0.00","1.42"
"3202","樺晟","N/A","0.00","0.00","1.08"
"3205","佰研","14.11","3.50","1.68","6.84"
"3206","志豐","10.48","1.50","6.28","1.34"
"3207","耀勝","N/A","0.00","0.00","1.03"
"3211","順達","10.63","3.50","7.42","0.93"
"3213","茂訊","12.20","3.10","8.41","1.65"
"3217","優群","12.81","1.00","6.97","0.81"
"3218","大學光","22.64","1.10","4.67","1.35"
"3219","倚強","60.69","0.00","0.00","1.35"
"3221","台嘉碩","21.18","1.00","3.28","1.63"
"3224","三顧","N/A","0.00","0.00","1.97"
"3226","至寶電","21.30","2.00","2.84","4.89"
"3227","原相","34.54","2.40","3.58","1.59"
"3228","金麗科","N/A","0.00","0.00","2.50"
"3230","錦明","N/A","0.00","0.00","0.40"
"3232","昱捷","N/A","0.40","1.47","2.30"
