排名,代號,名稱,成交,漲跌價,漲跌幅,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,ROA(%),ROA增減,ROE(%),ROE增減,EPS(元),EPS增減(元),財報評分
134,2330,台積電,142,-1,-0.7%,2014,7628,27.8,3777,34.5,2639,40.3,49.5,2.46,34.6,3.09,19.1,2.17,27.9,3.96,10.18,2.92,91
137,2317,鴻海,94.8,0.8,+0.9%,2014,42132,6.6,2919,14.6,1305,22.3,6.93,0.49,3.14,0.43,5.55,0.62,14.8,0.37,8.85,0.69,43
255,2881,富邦金,62.8,-0.8,-1.3%,2014,4087,5.12,1212,48.4,602,84.2,29.7,8.66,14.8,6.4,1.21,0.45,16.5,6,5.89,2.58,40
413,2882,國泰金,53.1,-0.1,-0.2%,2014,4236,6.73,1136,29.3,495,71.9,26.8,4.69,11.8,4.44,0.76,0.26,13.8,2.89,3.94,1.44,43
4,2454,聯發科,412.5,3.5,+0.9%,2014,2131,56.6,1039,73.7,464,68.6,48.8,4.79,21.8,1.58,15.2,3.5,21,6.14,30.04,9.53,81
507,2891,中信金,23.85,-0.1,-0.4%,2014,2223,56.8,937,54.3,394,83.4,42.2,-0.69,17.7,2.57,1.3,0.35,18.7,6.83,2.58,1.08,52
113,2412,中華電,96,-0.6,-0.6%,2014,2266,-0.6,782,-3.05,386,-2.77,34.5,-0.87,17.3,-0.63,8.82,-0.45,10.7,-0.45,4.98,-0.14,68
357,1303,南亞,71.1,0,0%,2014,3255,4.65,290,-11.1,318,25.8,8.92,-1.58,10.1,2.02,6.21,1.07,10.4,1.36,4.01,0.82,49
584,2886,兆豐金,27.9,0.3,+1.1%,2014,800,13.9,591,18.4,303,34.5,73.9,2.83,37.8,5.77,0.95,0.18,12,2.16,2.43,0.47,67
406,2408,南亞科,60.4,-2.5,-4%,2014,491,4.54,222,195,282,247,45.1,29.2,57.4,40.2,28.5,20.2,109,-22.4,11.77,11.4,79
403,2311,日月光,39.85,-1.25,-3%,2014,2566,16.7,535,25.1,236,50.4,20.9,1.39,9.44,2.09,7.8,1.75,17,3.48,3.07,0.98,51
718,2002,中鋼,24.4,0.1,+0.4%,2014,3665,5.37,439,16.5,222,38.7,12,1.14,6.6,1.33,3.55,0.72,7.4,1.52,1.43,0.38,38
877,3481,群創,16.15,-0.1,-0.6%,2014,4287,1.4,504,33.4,217,325,11.8,2.82,5.06,3.85,4.38,3.43,10.2,7.45,2.31,1.74,45
53,2308,台達電,164,3.5,+2.2%,2014,1906,7.67,515,14.4,207,16.4,27,1.58,11.7,0.95,10.7,0.64,20,1.6,8.49,1.17,60
6,2357,華碩,290,0,0%,2014,4774,3.05,654,9.03,195,-9.23,13.7,0.75,4.13,-0.52,6.08,-1.56,13,-3.23,26.21,-2.45,43
1,3008,大立光,3300,45,+1.4%,2014,458,67,245,89.2,194,102,53.5,6.28,42.4,7.4,39,11.5,50.7,14.8,144.91,73.3,89
